periode_data,wilayah,kecamatan,volume_sampah,total_sampah_residu,rata_rata
202504,Kota Adm. Jakarta Barat,Kembangan,1530.25,1477,49.23
202504,Kota Adm. Jakarta Barat,Palmerah,834.6,800,26.67
202504,Kota Adm. Jakarta Barat,Kebon Jeruk,1184.62,1179,39.3
202504,Kota Adm. Jakarta Barat,Tambora,457.61,454,15.13
202504,Kota Adm. Jakarta Barat,Grogol Petamburan,1115.79,916,30.53
202504,Kota Adm. Jakarta Barat,Tamansari,567.25,543,18.1
202504,Kota Adm. Jakarta Barat,Kalideres,950.86,872,29.07
202504,Kota Adm. Jakarta Barat,Cengkareng,2325.59,1372,45.73
202504,Kota Adm. Jakarta Selatan,Jagakarsa,1724.72,1713,57.1
202504,Kota Adm. Jakarta Selatan,Pasar Minggu,626.91,591,19.7
202504,Kota Adm. Jakarta Selatan,Pancoran,365.48,313,10.43
202504,Kota Adm. Jakarta Selatan,Tebet,482.39,478,15.93
202504,Kota Adm. Jakarta Selatan,Setiabudi,393.29,389,12.97
202504,Kota Adm. Jakarta Selatan,Mampang Prapatan,496.94,468,15.6
202504,Kota Adm. Jakarta Selatan,Cilandak,613.6,535,17.83
202504,Kota Adm. Jakarta Selatan,Kebayoran Baru,518.53,482,16.07
202504,Kota Adm. Jakarta Selatan,Kebayoran Lama,501.24,498,16.6
202504,Kota Adm. Jakarta Selatan,Pesanggrahan,683.14,680,22.67
202504,Kota Adm. Jakarta Timur,Ciracas,413.32,370,12.33
202504,Kota Adm. Jakarta Timur,Cipayung,332.87,252,8.4
202504,Kota Adm. Jakarta Timur,Makasar,1018.85,485,16.17
202504,Kota Adm. Jakarta Timur,Pasar Rebo,827.49,822,27.4
202504,Kota Adm. Jakarta Timur,Kramat Jati,1169.15,847,28.23
202504,Kota Adm. Jakarta Timur,Jatinegara,700.4,435,14.5
202504,Kota Adm. Jakarta Timur,Matraman,457.95,454,15.13
202504,Kota Adm. Jakarta Timur,Duren Sawit,371.81,366,12.2
202504,Kota Adm. Jakarta Timur,Pulo Gadung,707.87,694,23.13
202504,Kota Adm. Jakarta Timur,Cakung,1572.25,1549,51.63
202504,Kota Adm. Jakarta Pusat,Tanah Abang,1547.7,1424,47.47
202504,Kota Adm. Jakarta Pusat,Kemayoran,556.54,555,18.5
202402,KOTA ADM. JAKARTA UTARA,Koja,744.71,726,25.03
202402,KOTA ADM. JAKARTA UTARA,Tanjung Priok,1848.2,1377,47.48
202402,KOTA ADM. JAKARTA UTARA,Pademangan,607.36,591,20.38
202402,KOTA ADM. JAKARTA UTARA,Penjaringan,1977.15,1960,67.59
202402,KOTA ADM. JAKARTA BARAT,Kembangan,1139.62,1083,37.34
202402,KOTA ADM. JAKARTA BARAT,Palmerah,947.19,901,31.07
202402,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,1987.67,1979,68.24
202402,KOTA ADM. JAKARTA BARAT,Tambora,1252.08,1203.5,41.5
202402,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,1232.45,1021,35.21
202402,KOTA ADM. JAKARTA BARAT,Tamansari,739.8,695,23.97
202402,KOTA ADM. JAKARTA BARAT,Kalideres,1326.54,1116,38.48
202402,KOTA ADM. JAKARTA BARAT,Cengkareng,1754.95,1394,48.07
202402,KOTA ADM. JAKARTA SELATAN,Jagakarsa,6395.33,6380,220
202402,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,522.74,501,17.28
202402,KOTA ADM. JAKARTA SELATAN,Pancoran,416.57,374,12.9
202402,KOTA ADM. JAKARTA SELATAN,Tebet,586.61,574,19.79
202402,KOTA ADM. JAKARTA SELATAN,Setiabudi,503.25,495.5,17.09
202402,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,552.68,516,17.79
202402,KOTA ADM. JAKARTA SELATAN,Cilandak,597.53,509,17.55
202402,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,575.13,571,19.69
202402,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,514.02,510,17.59
202402,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,430.29,427,14.72
202402,KOTA ADM. JAKARTA TIMUR,Ciracas,849.9,384,13.24
202402,KOTA ADM. JAKARTA TIMUR,Cipayung,283.27,200,6.9
202402,KOTA ADM. JAKARTA TIMUR,Makasar,633.6,520,17.93
202402,KOTA ADM. JAKARTA TIMUR,Pasar Rebo,1029.8,1016,35.03
202402,KOTA ADM. JAKARTA TIMUR,Kramat Jati,28741,717,24.72
202402,KOTA ADM. JAKARTA TIMUR,Jatinegara,615.38,492,16.97
202402,KOTA ADM. JAKARTA TIMUR,Matraman,393.26,388,13.38
202402,KOTA ADM. JAKARTA TIMUR,Duren Sawit,1247.94,473,16.31
202402,KOTA ADM. JAKARTA TIMUR,Pulo Gadung,954.93,812,28
202402,KOTA ADM. JAKARTA TIMUR,Cakung,1475.65,1343,46.31
202403,KOTA ADM. JAKARTA PUSAT,Tanah Abang,640,552,17.81
202403,KOTA ADM. JAKARTA PUSAT,Kemayoran,958.31,957,30.87
202403,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,452.26,451.5,14.56
202403,KOTA ADM. JAKARTA PUSAT,Johar Baru,601.68,601,19.39
202403,KOTA ADM. JAKARTA PUSAT,Senen,380.16,378,12.19
202403,KOTA ADM. JAKARTA PUSAT,Sawah Besar,579.46,578,18.65
202403,KOTA ADM. JAKARTA PUSAT,Menteng,594.06,590,19.03
202403,KOTA ADM. JAKARTA PUSAT,Gambir,490.2,488,15.74
202403,KOTA ADM. JAKARTA UTARA,Cilincing,644.25,626,20.19
202403,KOTA ADM. JAKARTA UTARA,Kelapa Gading,421.33,416,13.42
202403,KOTA ADM. JAKARTA UTARA,Koja,655.03,639,20.61
202403,KOTA ADM. JAKARTA UTARA,Tanjung Priok,1277.34,1262,40.71
202403,KOTA ADM. JAKARTA UTARA,Pademangan,603.22,588,18.97
202403,KOTA ADM. JAKARTA UTARA,Penjaringan,1921.08,1899,61.26
202403,KOTA ADM. JAKARTA BARAT,Kembangan,1377.84,1299,41.9
202403,KOTA ADM. JAKARTA BARAT,Palmerah,944.81,902,29.1
202403,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,1966.52,1960,63.23
202403,KOTA ADM. JAKARTA BARAT,Tambora,999.97,974.5,31.44
202403,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,1065.61,841.5,27.15
202403,KOTA ADM. JAKARTA BARAT,Tamansari,706.78,663,21.39
202403,KOTA ADM. JAKARTA BARAT,Kalideres,1301.22,1137,36.68
